artists,track_name,id,uri,track_href,analysis_url,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
Trịnh Nam Sơn,Nếu biết xa em,4eFS0XtppcCPMjj6lxKbSt,spotify:track:4eFS0XtppcCPMjj6lxKbSt,https://api.spotify.com/v1/tracks/4eFS0XtppcCPMjj6lxKbSt,https://api.spotify.com/v1/audio-analysis/4eFS0XtppcCPMjj6lxKbSt,10,0.556,0.425,4,-12.887,0,0.0323,0.45,5.81e-06,0.102,0.4370000000000001,78.054,231573,4,1
RAP VIỆT and Mai Ngô,KHÔNG PHẢI TẠI NÓ (feat. Mai Ngô),2qNZU7RSIDSzbQ27gtaC0q,spotify:track:2qNZU7RSIDSzbQ27gtaC0q,https://api.spotify.com/v1/tracks/2qNZU7RSIDSzbQ27gtaC0q,https://api.spotify.com/v1/audio-analysis/2qNZU7RSIDSzbQ27gtaC0q,46,0.815,0.797,4,-5.473,0,0.16,0.45799999999999996,1.4000000000000001e-05,0.302,0.588,94.98899999999999,164211,4,0
Đen and Ngọc Linh,Mười Năm - Live At Show Của Đen,2H5XRciniz2nQ0jhaZJcd9,spotify:track:2H5XRciniz2nQ0jhaZJcd9,https://api.spotify.com/v1/tracks/2H5XRciniz2nQ0jhaZJcd9,https://api.spotify.com/v1/audio-analysis/2H5XRciniz2nQ0jhaZJcd9,42,0.617,0.904,1,-6.2970000000000015,0,0.163,0.196,0.0,0.151,0.328,90.0,285060,4,1
Lam Truong,Dấu vết bình yên,19JcjHmNeQt4oC1Ao3xCBi,spotify:track:19JcjHmNeQt4oC1Ao3xCBi,https://api.spotify.com/v1/tracks/19JcjHmNeQt4oC1Ao3xCBi,https://api.spotify.com/v1/audio-analysis/19JcjHmNeQt4oC1Ao3xCBi,4,0.5710000000000001,0.7,2,-5.375,0,0.0394,0.439,0.0,0.289,0.404,126.044,240200,4,1
Thiên Khôi and JUUN D,Biết Em Lại Vô Tình,6m11BPYL45iM3rLXpZCYch,spotify:track:6m11BPYL45iM3rLXpZCYch,https://api.spotify.com/v1/tracks/6m11BPYL45iM3rLXpZCYch,https://api.spotify.com/v1/audio-analysis/6m11BPYL45iM3rLXpZCYch,19,0.598,0.532,6,-8.821,1,0.0315,0.469,0.0,0.369,0.187,112.121,291429,4,1
Lý Hải,Thiên Thần Tình Yêu,0hpiYtZwioJt3pGQ7jLpMf,spotify:track:0hpiYtZwioJt3pGQ7jLpMf,https://api.spotify.com/v1/tracks/0hpiYtZwioJt3pGQ7jLpMf,https://api.spotify.com/v1/audio-analysis/0hpiYtZwioJt3pGQ7jLpMf,12,0.593,0.7070000000000001,2,-3.3739999999999997,0,0.0282,0.723,1.88e-06,0.107,0.507,118.08200000000001,251794,4,0
Trấn Thành,Cánh Hồng Phai,5HZhvjSWkcCd7zn49qPypk,spotify:track:5HZhvjSWkcCd7zn49qPypk,https://api.spotify.com/v1/tracks/5HZhvjSWkcCd7zn49qPypk,https://api.spotify.com/v1/audio-analysis/5HZhvjSWkcCd7zn49qPypk,41,0.716,0.402,0,-8.198,1,0.0296,0.21899999999999997,0.0,0.10400000000000001,0.315,99.973,242120,4,0
Suni Hạ Linh and ERIK,Cho Nhau Nhe,6IoP0NymzXMzaHqEgJMi09,spotify:track:6IoP0NymzXMzaHqEgJMi09,https://api.spotify.com/v1/tracks/6IoP0NymzXMzaHqEgJMi09,https://api.spotify.com/v1/audio-analysis/6IoP0NymzXMzaHqEgJMi09,0,0.40399999999999997,0.188,2,-10.059,1,0.0449,0.816,0.0,0.092,0.222,73.929,218951,4,0
RAP VIỆT and RPT MCK,Va Vào Giai Điệu Này (feat. RPT MCK),3U5WFUIgOaA1U7GdTs4yjQ,spotify:track:3U5WFUIgOaA1U7GdTs4yjQ,https://api.spotify.com/v1/tracks/3U5WFUIgOaA1U7GdTs4yjQ,https://api.spotify.com/v1/audio-analysis/3U5WFUIgOaA1U7GdTs4yjQ,50,0.807,0.7440000000000001,11,-4.146,1,0.0569,0.146,0.0,0.113,0.475,129.05,197209,4,0
Jimmi Nguyen,Tình Yêu Còn Xa,4AmzEgdSjPhJHXpO6Ljj05,spotify:track:4AmzEgdSjPhJHXpO6Ljj05,https://api.spotify.com/v1/tracks/4AmzEgdSjPhJHXpO6Ljj05,https://api.spotify.com/v1/audio-analysis/4AmzEgdSjPhJHXpO6Ljj05,0,0.691,0.41100000000000003,4,-11.713,0,0.0302,0.598,2.3e-05,0.188,0.456,134.009,252291,4,0
Mỹ Tâm,Đừng Hỏi 'em,0mecMCPM6Szdr74FQCkIXo,spotify:track:0mecMCPM6Szdr74FQCkIXo,https://api.spotify.com/v1/tracks/0mecMCPM6Szdr74FQCkIXo,https://api.spotify.com/v1/audio-analysis/0mecMCPM6Szdr74FQCkIXo,0,0.337,0.444,0,-7.053,0,0.032,0.696,2.3100000000000002e-05,0.127,0.289,147.17,263053,4,0
Doãn Hiếu and B Entertainment,Bao Lâu Ta Lại Yêu Một Người,2KPmisfkIZlWm1N4Ni4HpB,spotify:track:2KPmisfkIZlWm1N4Ni4HpB,https://api.spotify.com/v1/tracks/2KPmisfkIZlWm1N4Ni4HpB,https://api.spotify.com/v1/audio-analysis/2KPmisfkIZlWm1N4Ni4HpB,35,0.7659999999999999,0.377,0,-8.482999999999999,1,0.0323,0.816,5.68e-05,0.136,0.415,101.98100000000001,230588,4,0
Pham Truong,Nợ,3WclkQMwCip5i8adU0moEa,spotify:track:3WclkQMwCip5i8adU0moEa,https://api.spotify.com/v1/tracks/3WclkQMwCip5i8adU0moEa,https://api.spotify.com/v1/audio-analysis/3WclkQMwCip5i8adU0moEa,17,0.649,0.7490000000000001,11,-7.593,0,0.0307,0.39,0.0,0.107,0.8440000000000001,117.034,308898,4,1
Hoàng Yến Chibi and Tlinh and TDK,Yêu Thầm,7dJVE53hGAX9TcKH0abFic,spotify:track:7dJVE53hGAX9TcKH0abFic,https://api.spotify.com/v1/tracks/7dJVE53hGAX9TcKH0abFic,https://api.spotify.com/v1/audio-analysis/7dJVE53hGAX9TcKH0abFic,47,0.5329999999999999,0.557,0,-5.8420000000000005,1,0.0353,0.6409999999999999,0.000183,0.15,0.14300000000000002,95.911,252500,4,0
Tuấn Hưng,Tìm Lại Hạnh Phúc,5jAWtS0CkPoDzgIY0htewb,spotify:track:5jAWtS0CkPoDzgIY0htewb,https://api.spotify.com/v1/tracks/5jAWtS0CkPoDzgIY0htewb,https://api.spotify.com/v1/audio-analysis/5jAWtS0CkPoDzgIY0htewb,0,0.325,0.309,11,-11.323,0,0.0332,0.879,7.42e-06,0.121,0.24,149.53799999999998,349539,4,0
Hoài Lâm,Về Đâu Mái Tóc Người Thương,1WCix14XoBrfdopN3BRYMJ,spotify:track:1WCix14XoBrfdopN3BRYMJ,https://api.spotify.com/v1/tracks/1WCix14XoBrfdopN3BRYMJ,https://api.spotify.com/v1/audio-analysis/1WCix14XoBrfdopN3BRYMJ,0,0.37,0.51,7,-6.695,0,0.0305,0.512,2.8999999999999998e-06,0.149,0.28300000000000003,122.92200000000001,263400,4,0
Bằng Cường,Lòng mãi không quên,4lTbp9EyhrTf63YoCBIaOS,spotify:track:4lTbp9EyhrTf63YoCBIaOS,https://api.spotify.com/v1/tracks/4lTbp9EyhrTf63YoCBIaOS,https://api.spotify.com/v1/audio-analysis/4lTbp9EyhrTf63YoCBIaOS,14,0.564,0.494,11,-4.915,0,0.0243,0.795,0.0,0.18899999999999997,0.26899999999999996,80.012,307828,4,0
Minh Thuận,Cuộc Tình Hờ Hững,3JJGRpSPDGGRQFIyJ7c2Lm,spotify:track:3JJGRpSPDGGRQFIyJ7c2Lm,https://api.spotify.com/v1/tracks/3JJGRpSPDGGRQFIyJ7c2Lm,https://api.spotify.com/v1/audio-analysis/3JJGRpSPDGGRQFIyJ7c2Lm,0,0.524,0.32,11,-10.716,1,0.0359,0.5770000000000001,8.38e-06,0.272,0.147,121.021,231706,4,0
Phan Dinh Tung,Va Toi Van Hat,5HyH2ExHRMSzigkToMgUp9,spotify:track:5HyH2ExHRMSzigkToMgUp9,https://api.spotify.com/v1/tracks/5HyH2ExHRMSzigkToMgUp9,https://api.spotify.com/v1/audio-analysis/5HyH2ExHRMSzigkToMgUp9,2,0.691,0.26,1,-14.683,1,0.0328,0.336,1.19e-05,0.125,0.13699999999999998,90.935,211910,4,1
Đan Trường,Dòng Sông Xưa,286vgRt99KvqNBDO5cbaBk,spotify:track:286vgRt99KvqNBDO5cbaBk,https://api.spotify.com/v1/tracks/286vgRt99KvqNBDO5cbaBk,https://api.spotify.com/v1/audio-analysis/286vgRt99KvqNBDO5cbaBk,0,0.657,0.5529999999999999,6,-10.317,1,0.0554,0.149,0.0,0.106,0.449,124.057,269427,4,1
Isaac and Only C,Tắt Đèn,3x68mYmBqd0Ptl5pwTj9wr,spotify:track:3x68mYmBqd0Ptl5pwTj9wr,https://api.spotify.com/v1/tracks/3x68mYmBqd0Ptl5pwTj9wr,https://api.spotify.com/v1/audio-analysis/3x68mYmBqd0Ptl5pwTj9wr,0,0.696,0.639,1,-9.31,1,0.0327,0.149,0.0,0.0975,0.574,128.028,213090,4,0
OSAD VRT,Nguoi Am Phu - Original,04JBEwGP94fWL7nbcrO0F2,spotify:track:04JBEwGP94fWL7nbcrO0F2,https://api.spotify.com/v1/tracks/04JBEwGP94fWL7nbcrO0F2,https://api.spotify.com/v1/audio-analysis/04JBEwGP94fWL7nbcrO0F2,5,0.687,0.6559999999999999,1,-6.987,1,0.0333,0.0451,0.000843,0.29,0.388,120.074,130558,4,1
Haisam,The Thoi,0Julx4ZQ19bZygaIGztomg,spotify:track:0Julx4ZQ19bZygaIGztomg,https://api.spotify.com/v1/tracks/0Julx4ZQ19bZygaIGztomg,https://api.spotify.com/v1/audio-analysis/0Julx4ZQ19bZygaIGztomg,44,0.29100000000000004,0.172,3,-12.267999999999999,1,0.0361,0.902,0.0013,0.109,0.364,186.158,243110,3,0
HuyR,Cô Gái M52,0AXYXHoam4tHLAcRkEescf,spotify:track:0AXYXHoam4tHLAcRkEescf,https://api.spotify.com/v1/tracks/0AXYXHoam4tHLAcRkEescf,https://api.spotify.com/v1/audio-analysis/0AXYXHoam4tHLAcRkEescf,41,0.966,0.644,5,-9.389,0,0.0755,0.21600000000000005,0.0,0.0941,0.94,110.012,213333,4,1
Mỹ Tâm,Tình Như Ngọn Nến,65Rx2xEYPzsX4OhxNxseEn,spotify:track:65Rx2xEYPzsX4OhxNxseEn,https://api.spotify.com/v1/tracks/65Rx2xEYPzsX4OhxNxseEn,https://api.spotify.com/v1/audio-analysis/65Rx2xEYPzsX4OhxNxseEn,0,0.535,0.359,2,-13.583,0,0.0292,0.581,0.0,0.313,0.373,180.478,313652,4,1
Mỹ Tâm,Tóc Nâu Môi Trầm,3kntK6tBX9Tbmxd8sAdq1d,spotify:track:3kntK6tBX9Tbmxd8sAdq1d,https://api.spotify.com/v1/tracks/3kntK6tBX9Tbmxd8sAdq1d,https://api.spotify.com/v1/audio-analysis/3kntK6tBX9Tbmxd8sAdq1d,2,0.733,0.775,10,-5.3020000000000005,0,0.0368,0.561,0.0,0.256,0.627,120.053,212924,4,0
Noo Phước Thịnh,Chỉ Là Giấc Mơ,0wK96i3PazmdqmRZ3wWKrn,spotify:track:0wK96i3PazmdqmRZ3wWKrn,https://api.spotify.com/v1/tracks/0wK96i3PazmdqmRZ3wWKrn,https://api.spotify.com/v1/audio-analysis/0wK96i3PazmdqmRZ3wWKrn,0,0.741,0.831,6,-5.582000000000002,0,0.0331,0.0748,0.000192,0.274,0.959,130.001,253627,4,1
